from_id,to_id,method,distance_km,time_min,cost_baht
9,20,driving-car,13.03,14.7,310.41
9,21,driving-car,57.95,43.7,597.48
9,22,driving-car,59.63,46.0,680.36
9,23,driving-car,72.61,47.6,1326.7
9,24,driving-car,10.82,8.5,268.31
9,25,driving-car,74.42,52.5,1015.36
9,26,driving-car,74.45,50.4,1488.94
9,27,driving-car,71.8,48.4,725.64
9,28,driving-car,72.04,47.1,1439.88
9,29,driving-car,78.21,54.2,1016.06
9,30,driving-car,77.71,53.0,864.24
9,31,driving-car,75.63,51.2,1366.23
9,32,driving-car,74.98,47.9,1299.37
9,33,driving-car,78.21,54.2,1552.11
9,34,driving-car,82.8,58.1,1469.46
9,35,driving-car,82.47,57.0,1527.56
9,36,driving-car,56.91,44.3,826.06
9,37,driving-car,58.83,46.2,748.25
9,38,driving-car,73.8,49.2,1398.25
9,39,driving-car,18.56,16.8,984.57
9,40,driving-car,18.86,16.8,1151.97
9,41,driving-car,16.82,13.7,617.6
9,42,driving-car,58.89,46.5,923.88
9,43,driving-car,58.36,46.9,1283.33
9,44,driving-car,18.05,15.4,561.57
9,45,driving-car,14.69,13.7,1069.01
10,1,driving-car,60.37,38.9,1374.4
10,2,driving-car,27.4,24.9,713.79
10,3,driving-car,42.09,36.1,1122.05
10,4,driving-car,16.46,14.3,922.81
10,5,driving-car,76.94,53.5,843.77
10,6,driving-car,4.73,4.6,976.55
10,7,driving-car,26.0,22.5,771.23
10,8,driving-car,33.24,26.2,1118.23
10,9,driving-car,13.72,10.8,512.58
10,11,driving-car,33.93,28.6,1185.91
10,12,driving-car,35.45,26.5,742.38
10,13,driving-car,44.99,35.7,480.67
10,14,driving-car,50.5,43.0,1332.59
10,15,driving-car,48.92,40.6,586.48
10,16,driving-car,44.43,33.5,753.53
10,17,driving-car,60.43,41.6,1457.43
10,18,driving-car,50.88,42.9,1376.53
10,19,driving-car,59.78,38.5,1112.72
10,20,driving-car,5.93,10.2,740.7
10,21,driving-car,45.06,34.4,875.11
10,22,driving-car,46.74,36.7,749.68
10,23,driving-car,59.72,38.3,891.92
10,24,driving-car,6.5,5.3,781.02
10,25,driving-car,61.53,43.3,1289.41
10,26,driving-car,61.56,41.1,1324.96
10,27,driving-car,58.91,39.1,1299.89
10,28,driving-car,59.15,37.9,673.36
10,29,driving-car,65.31,44.9,1091.27
10,30,driving-car,64.82,43.8,693.68
10,31,driving-car,62.74,41.9,1117.74
10,32,driving-car,62.09,38.6,1014.69
10,33,driving-car,65.31,45.0,1445.22
10,34,driving-car,69.91,48.8,1003.51
10,35,driving-car,69.58,47.8,790.08
10,36,driving-car,44.01,35.1,591.27
10,37,driving-car,45.94,37.0,1164.35
10,38,driving-car,60.91,40.0,1163.09
10,39,driving-car,4.22,7.3,251.94
10,40,driving-car,5.97,7.5,248.01
10,41,driving-car,3.93,4.4,789.92
10,42,driving-car,46.0,37.2,544.99
10,43,driving-car,45.47,37.6,1214.67
10,44,driving-car,5.16,6.2,802.66
10,45,driving-car,4.12,6.3,233.49
11,1,driving-car,80.07,52.0,855.58
11,2,driving-car,55.92,44.6,1451.8
11,3,driving-car,70.6,55.8,1030.74
11,4,driving-car,44.97,34.1,804.33
11,5,driving-car,96.65,66.6,1684.85
11,6,driving-car,37.15,26.6,1258.22
11,7,driving-car,9.65,9.8,1083.62
11,8,driving-car,59.4,43.1,1271.44
11,9,driving-car,17.11,18.6,586.9
11,10,driving-car,30.92,26.9,431.01
11,12,driving-car,63.96,46.2,1333.57
11,13,driving-car,73.5,55.4,1222.56
11,14,driving-car,85.82,58.4,1221.41
11,15,driving-car,77.43,60.3,1571.09
11,16,driving-car,72.94,53.2,815.04
11,17,driving-car,80.14,54.7,1223.33
11,18,driving-car,79.4,62.7,783.32
11,19,driving-car,79.48,51.6,1195.61
11,20,driving-car,29.45,29.6,394.77
11,21,driving-car,73.57,54.2,827.57
11,22,driving-car,75.25,56.5,841.52
11,23,driving-car,79.42,51.4,1357.57
11,24,driving-car,27.23,23.4,997.78
11,25,driving-car,81.24,56.4,1316.55
11,26,driving-car,81.27,54.2,1657.79
11,27,driving-car,78.61,52.2,1103.37
11,28,driving-car,78.86,50.9,1025.38
11,29,driving-car,85.02,58.0,1612.95
11,30,driving-car,84.52,56.8,1027.2
11,31,driving-car,82.44,55.0,1671.02
11,32,driving-car,81.8,51.7,808.34
11,33,driving-car,85.02,58.0,1704.1
11,34,driving-car,89.61,61.9,918.24
11,35,driving-car,89.29,60.8,1678.08
11,36,driving-car,72.53,54.8,1186.2
11,37,driving-car,74.45,56.7,1622.22
11,38,driving-car,80.62,53.1,851.43
11,39,driving-car,38.34,29.6,913.69
11,40,driving-car,38.21,29.4,1286.55
11,41,driving-car,39.69,28.5,896.81
11,42,driving-car,74.51,56.9,1295.55
11,43,driving-car,65.17,50.7,1271.2
11,44,driving-car,40.16,30.0,838.95
11,45,driving-car,31.1,28.7,922.1
12,1,driving-car,23.64,22.0,823.5
12,2,driving-car,17.84,17.4,1064.42
12,3,driving-car,7.34,11.3,222.11
12,4,driving-car,22.32,18.1,539.93
12,5,driving-car,41.17,40.9,1293.81
12,6,driving-car,33.11,24.5,1174.62
12,7,driving-car,60.13,46.6,1009.76
12,8,driving-car,6.49,6.1,733.81
12,9,driving-car,47.85,34.9,744.87
12,10,driving-car,35.7,26.7,563.41
12,11,driving-car,66.26,47.2,1072.17
12,13,driving-car,10.23,10.9,518.13
12,14,driving-car,15.75,18.2,764.04
12,15,driving-car,14.16,15.9,297.58
12,16,driving-car,9.68,8.7,1073.38
12,17,driving-car,20.68,21.5,1161.53
12,18,driving-car,16.13,18.2,869.76
12,19,driving-car,17.45,16.5,733.14
12,20,driving-car,41.37,34.5,718.71
12,21,driving-car,10.3,9.7,933.02
12,22,driving-car,11.98,12.0,828.62
12,23,driving-car,17.39,16.3,396.59
12,24,driving-car,40.63,29.5,1253.69
12,25,driving-car,21.79,23.2,1023.1
12,26,driving-car,21.31,22.2,1133.8
12,27,driving-car,17.62,19.3,904.99
12,28,driving-car,16.82,15.9,798.31
12,29,driving-car,25.06,26.1,685.4
12,30,driving-car,18.74,19.2,1099.14
12,31,driving-car,22.48,23.1,1067.8
12,32,driving-car,28.17,25.0,374.56
12,33,driving-car,25.06,26.1,332.71
12,34,driving-car,33.18,31.9,712.76
12,35,driving-car,32.86,30.8,1100.88
12,36,driving-car,9.26,10.3,1082.24
12,37,driving-car,11.18,12.3,342.14
12,38,driving-car,16.91,16.8,781.59
12,39,driving-car,34.12,27.5,724.26
12,40,driving-car,34.34,27.5,1256.14
12,41,driving-car,34.32,26.2,1140.97
12,42,driving-car,11.24,12.5,961.68
12,43,driving-car,23.05,25.5,714.72
12,44,driving-car,34.78,27.8,760.08
12,45,driving-car,38.25,30.5,660.57
13,1,driving-car,15.62,15.5,288.58
13,2,driving-car,28.22,25.9,1112.51
13,3,driving-car,6.53,14.0,907.55
13,4,driving-car,32.7,26.7,1269.85
13,5,driving-car,32.72,32.3,1267.23
13,6,driving-car,43.5,33.0,958.14
13,7,driving-car,70.51,55.2,1385.18
13,8,driving-car,16.87,14.6,1096.88
13,9,driving-car,58.23,43.5,1348.13
13,10,driving-car,46.09,35.3,702.88
13,11,driving-car,76.64,55.8,1153.75
13,12,driving-car,10.45,8.8,317.89
13,14,driving-car,7.74,11.8,1042.46
